length	gccontent
AC006355.3	1012	0.449604743083004
AC006372.1	1543	0.530784186649384
AC006378.2	613	0.451876019575856
AC006435.1	2616	0.501529051987768
AC006445.6	405	0.483950617283951
AC006465.4	1150	0.420869565217391
AC006466.5	289	0.491349480968858
AC006483.5	313	0.511182108626198
AC006486.1	2199	0.546612096407458
AC006499.8	1883	0.488050982474774
AC006509.4	395	0.49873417721519
AC006509.7	634	0.421135646687697
AC006539.2	220	0.572727272727273
AC006547.13	325	0.575384615384615
AC006547.14	1324	0.668429003021148
AC006946.12	328	0.481707317073171
AC006946.15	1354	0.545790251107829
AC006978.6	1234	0.475688816855754
AC006994.2	506	0.547430830039526
AC007036.6	674	0.520771513353116
AC007038.7	2112	0.378314393939394
AC007040.6	317	0.564668769716088
AC007040.7	723	0.5283540802213
AC007041.2	1155	0.451082251082251
AC007163.3	2050	0.420975609756098
AC007163.6	528	0.545454545454545
AC007182.6	1167	0.534704370179949
AC007237.2	499	0.474949899799599
AC007238.1	1673	0.480573819485953
AC007246.3	6484	0.435996298581123
AC007249.3	343	0.56268221574344
AC007256.5	2765	0.381916817359855
AC007278.3	1327	0.429540316503391
AC007279.2	837	0.568697729988053
AC007283.4	197	0.421319796954315
AC007283.5	531	0.425612052730697
AC007285.6	953	0.554039874081847
AC007312.3	258	0.534883720930233
AC007318.5	880	0.451136363636364
AC007347.1	336	0.505952380952381
AC007365.1	1929	0.537584240539139
AC007365.3	627	0.496012759170654
AC007365.4	482	0.551867219917012
AC007381.2	1044	0.440613026819923
AC007381.3	2005	0.52568578553616
AC007383.3	687	0.627365356622999
AC007383.4	813	0.383763837638376
AC007383.6	636	0.45440251572327
AC007386.2	2928	0.490437158469945
AC007386.3	582	0.460481099656357
AC007386.4	1133	0.455428067078552
AC007387.2	213	0.55868544600939
AC007389.1	638	0.540752351097179
AC007391.2	504	0.420634920634921
AC007395.4	677	0.382570162481536
AC007405.4	1961	0.467108618052014
AC007405.6	736	0.43070652173913
AC007463.2	796	0.434673366834171
AC007551.2	519	0.464354527938343
AC007551.3	943	0.430540827147402
AC007559.1	355	0.442253521126761
AC007560.1	237	0.489451476793249
AC007566.10	386	0.39119170984456
AC007618.3	1045	0.466028708133971
AC007620.3	568	0.410211267605634
AC007679.4	414	0.461352657004831
AC007690.1	408	0.443627450980392
AC007750.5	3126	0.380358285348688
AC007790.4	782	0.400255754475703
AC007879.2	904	0.446902654867257
AC007879.3	195	0.41025641025641
AC007879.5	876	0.417808219178082
AC007879.7	813	0.493234932349323
AC007880.1	1977	0.443601416287304
AC007899.3	374	0.358288770053476
AC007919.18	217	0.382488479262673
AC007952.5	1455	0.565635738831615
AC007969.4	191	0.424083769633508
AC007969.5	447	0.628635346756152
AC007970.1	1667	0.394721055788842
AC008072.1	824	0.429611650485437
AC008073.7	1022	0.498043052837573
AC008074.3	723	0.49792531120332
AC008074.4	572	0.498251748251748
AC008155.1	332	0.533132530120482
AC008155.2	397	0.476070528967254
AC008174.3	630	0.334920634920635
AC008265.2	1549	0.561652679147837
AC008278.2	409	0.418092909535452
AC008427.2	655	0.419847328244275
AC008592.3	418	0.42822966507177
AC008592.4	321	0.476635514018692
AC008592.5	850	0.467058823529412
AC008694.2	306	0.42156862745098
AC008697.1	1990	0.502010050251256
AC008746.3	409	0.699266503667482
AC008753.3	284	0.5
AC008753.6	439	0.580865603644647
AC008781.7	196	0.489795918367347
AC008850.3	362	0.406077348066298
AC008937.3	695	0.450359712230216
AC008984.6	911	0.55543358946213
AC009065.2	84	0.761904761904762
AC009095.4	522	0.490421455938697
AC009120.3	463	0.464362850971922
AC009133.14	221	0.619909502262443
AC009227.3	511	0.403131115459883
AC009229.6	351	0.495726495726496
AC009234.1	726	0.450413223140496
AC009237.11	379	0.477572559366755
AC009237.8	3541	0.503247670149675
AC009245.3	862	0.466357308584687
AC009263.2	1239	0.372074253430186
AC009274.6	370	0.551351351351351
AC009299.2	1354	0.337518463810931
AC009299.3	2315	0.359827213822894
AC009299.4	717	0.587168758716876
AC009299.5	501	0.746506986027944
AC009302.2	390	0.397435897435897
AC009336.24	658	0.592705167173252
AC009362.2	406	0.472906403940887
AC009403.2	1683	0.490196078431373
AC009404.2	4058	0.460818137013307
AC009410.1	678	0.374631268436578
AC009413.2	399	0.481203007518797
AC009473.1	692	0.34393063583815
AC009474.1	1565	0.532907348242811
AC009474.2	136	0.485294117647059
AC009500.2	583	0.404802744425386
AC009501.4	1837	0.520413718018508
AC009502.1	766	0.415143603133159
AC009505.4	491	0.460285132382892
AC009506.1	983	0.521871820956256
AC009517.2	349	0.607449856733524
AC009518.8	799	0.392991239048811
AC009541.1	2662	0.367017280240421
AC009784.3	1272	0.415094339622642
AC009945.4	298	0.597315436241611
AC009948.5	2710	0.421771217712177
AC009948.7	713	0.52875175315568
AC009950.2	419	0.45346062052506
AC009961.3	499	0.511022044088176
AC009961.5	251	0.326693227091633
AC009963.6	486	0.479423868312757
AC009965.1	970	0.370103092783505
AC009970.1	432	0.543981481481482
AC009974.11	467	0.468950749464668
AC010091.1	4712	0.344227504244482
AC010095.6	144	0.423611111111111
AC010095.7	639	0.535211267605634
AC010096.1	1709	0.403744880046811
AC010146.1	527	0.35673624288425
AC010148.1	2973	0.456104944500505
AC010149.4	575	0.467826086956522
AC010150.1	506	0.535573122529644
AC010203.1	82	0.646341463414634
AC010226.4	629	0.397456279809221
AC010240.2	1205	0.451452282157676
AC010240.3	459	0.490196078431373
AC010468.1	817	0.423500611995104
AC010468.2	438	0.422374429223744
AC010492.2	901	0.471698113207547
AC010492.5	108	0.37037037037037
AC010525.1	501	0.602794411177645
AC010677.5	412	0.463592233009709
AC010729.1	689	0.551523947750363
AC010733.4	2029	0.477575160177427
AC010733.5	400	0.47
AC010878.3	1047	0.415472779369628
AC010883.5	279	0.476702508960573
AC010890.1	1704	0.447769953051643
AC010894.3	705	0.480851063829787
AC010894.4	361	0.421052631578947
AC010900.2	1297	0.520431765612953
AC010904.1	320	0.625
AC010980.2	959	0.453597497393118
AC010982.1	624	0.620192307692308
AC011196.3	526	0.429657794676806
AC011225.1	369	0.447154471544715
AC011242.6	945	0.414814814814815
AC011247.3	233	0.669527896995708
AC011290.4	410	0.395121951219512
AC011290.5	823	0.444714459295261
AC011385.1	369	0.498644986449864
AC011484.1	291	0.65979381443299
AC011498.1	381	0.514435695538058
AC011500.1	468	0.574786324786325
AC011718.1	999	0.610610610610611
AC011738.4	2763	0.47014115092291
AC011742.3	352	0.471590909090909
AC011747.3	1036	0.58976833976834
AC011747.4	8956	0.46114336757481
AC011747.7	2022	0.506923837784372
AC011753.6	220	0.490909090909091
AC011893.3	1783	0.445877734155917
AC011933.2	321	0.454828660436137
AC011997.1	974	0.360369609856263
AC011998.2	473	0.52431289640592
AC011998.4	117	0.538461538461538
AC012065.5	375	0.461333333333333
AC012066.1	959	0.542231491136601
AC012074.2	419	0.553699284009546
AC012075.1	580	0.448275862068966
AC012123.1	1488	0.484543010752688
AC012146.7	287	0.397212543554007
AC012307.2	197	0.624365482233503
AC012309.5	462	0.569264069264069
AC012314.19	327	0.672782874617737
AC012314.8	3569	0.596525637433455
AC012354.6	2681	0.477806788511749
AC012354.8	461	0.542299349240781
AC012358.4	1315	0.55893536121673
AC012358.8	538	0.475836431226766
AC012360.4	674	0.520771513353116
AC012360.6	1670	0.448502994011976
AC012362.3	739	0.610284167794317
AC012363.4	195	0.712820512820513
AC012368.1	563	0.346358792184725
AC012379.1	3	0.666666666666667
AC012442.6	529	0.491493383742911
AC012456.4	447	0.52572706935123
AC012457.2	466	0.620171673819742
AC012485.2	563	0.484902309058615
AC012487.2	737	0.546811397557666
AC012493.1	760	0.430263157894737
AC012501.3	939	0.472843450479233
AC012507.3	2265	0.543487858719647
AC012512.1	718	0.502785515320334
AC012513.4	1139	0.453028972783143
AC012613.2	4358	0.501376778338687
AC012671.2	203	0.45320197044335
AC013264.2	426	0.485915492957746
AC013267.1	267	0.404494382022472
AC013399.3	418	0.45933014354067
AC013403.13	263	0.600760456273764
AC013404.1	249	0.461847389558233
AC013410.1	1232	0.415584415584416
AC013429.5	781	0.394366197183099
AC013437.2	1112	0.391187050359712
AC013439.4	1239	0.401129943502825
AC013442.1	228	0.482456140350877
AC013444.1	1904	0.40703781512605
AC013467.1	1041	0.447646493756004
AC013470.6	1194	0.360134003350084
AC013470.8	462	0.372294372294372
AC013474.4	799	0.461827284105131
AC013717.3	488	0.502049180327869
AC013733.5	459	0.509803921568627
AC015726.1	390	0.476923076923077
AC015815.6	71	0.464788732394366
AC015969.3	1416	0.451271186440678
AC015971.2	1018	0.368369351669941
AC015977.5	292	0.452054794520548
AC016292.3	515	0.497087378640777
AC016405.1	877	0.516533637400228
AC016683.5	990	0.557575757575758
AC016691.2	413	0.467312348668281
AC016697.1	850	0.521176470588235
AC016697.2	615	0.557723577235772
AC016700.3	827	0.492140266021765
AC016700.4	240	0.545833333333333
AC016700.5	662	0.634441087613293
AC016700.6	156	0.41025641025641
AC016708.2	318	0.553459119496855
AC016712.1	862	0.475638051044084
AC016712.2	378	0.462962962962963
AC016716.1	708	0.402542372881356
AC016722.3	652	0.45398773006135
AC016722.4	1394	0.4519368723099
AC016724.6	420	0.464285714285714
AC016732.2	1034	0.412959381044487
AC016734.2	657	0.540334855403349
AC016735.1	400	0.5175
AC016735.2	2759	0.531351939108373
AC016739.1	883	0.514156285390713
AC016739.2	345	0.539130434782609
AC016747.3	2923	0.472117687307561
AC016753.7	851	0.492361927144536
AC016757.3	2906	0.588093599449415
AC016772.4	1261	0.34892942109437
AC016773.1	320	0.659375
AC016831.6	1723	0.450957632037145
AC016831.7	1616	0.5
AC016907.3	4218	0.437174016121385
AC016912.3	570	0.492982456140351
AC016999.2	409	0.657701711491443
AC017035.2	1115	0.444843049327354
AC017079.3	415	0.462650602409639
AC017079.4	485	0.443298969072165
AC017080.1	171	0.47953216374269
AC017081.2	826	0.526634382566586
AC017083.2	364	0.478021978021978
AC017104.2	568	0.51056338028169
AC017104.6	1597	0.569192235441453
AC018462.2	1585	0.413880126182965
AC018463.5	492	0.481707317073171
AC018470.4	3435	0.518486171761281
AC018634.9	401	0.481296758104738
AC018647.3	2570	0.413229571984436
AC018693.5	530	0.441509433962264
AC018705.5	1662	0.551744885679904
AC018735.1	1356	0.570796460176991
AC018737.3	1451	0.501722949689869
AC018755.1	1701	0.514991181657848
AC018804.7	1327	0.580256217030897
AC018816.3	907	0.474090407938258
AC018865.5	935	0.577540106951872
AC018880.1	1319	0.462471569370735
AC018880.2	201	0.427860696517413
AC018890.6	3701	0.421777897865442
AC018892.9	860	0.61046511627907
AC019050.1	492	0.465447154471545
AC019097.7	735	0.408163265306122
AC019109.1	1874	0.486125933831377
AC019117.1	837	0.419354838709677
AC019118.3	952	0.57563025210084
AC019129.2	678	0.474926253687316
AC019172.2	717	0.475592747559275
AC019178.2	440	0.477272727272727
AC019221.4	330	0.472727272727273
AC020571.3	1503	0.374584165003327
AC020594.5	268	0.470149253731343
AC020947.2	860	0.524418604651163
AC021016.6	131	0.694656488549618
AC021016.7	498	0.518072289156627
AC021016.8	482	0.556016597510373
AC021021.1	672	0.569940476190476
AC021188.4	740	0.566216216216216
AC022007.5	1972	0.558316430020284
AC022210.2	878	0.607061503416856
AC022311.1	3099	0.425298483381736
AC022431.1	438	0.438356164383562
AC022532.1	1364	0.497800586510264
AC023128.2	1223	0.399018806214227
AC023469.2	657	0.43531202435312
AC023590.1	1595	0.442006269592476
AC023632.1	1860	0.367741935483871
AC024082.3	699	0.402002861230329
AC024082.4	238	0.373949579831933
AC024132.1	2509	0.436428856117975
AC024162.2	432	0.358796296296296
AC024560.3	1984	0.504032258064516
AC024580.1	1194	0.586264656616415
AC024704.2	345	0.402898550724638
AC024937.2	344	0.558139534883721
AC024940.1	1210	0.650413223140496
AC025165.8	1701	0.532627865961199
AC025171.1	2658	0.54025583145222
AC025278.1	4378	0.581544084056647
AC025335.1	2831	0.514305898975627
AC025442.3	199	0.633165829145729
AC025750.5	450	0.437777777777778
AC025750.7	379	0.467018469656992
AC026166.2	344	0.354651162790698
AC026167.1	299	0.448160535117057
AC026188.1	1337	0.432311144353029
AC026202.3	672	0.422619047619048
AC026271.5	1348	0.456973293768546
AC026703.1	2875	0.391304347826087
AC026954.6	1297	0.580570547417116
AC027124.2	466	0.587982832618026
AC027124.3	105	0.523809523809524
AC027612.1	1047	0.533906399235912
AC027612.6	613	0.517128874388255
AC027763.2	1178	0.458404074702886
AC034220.3	3587	0.474770002787845
AC034229.1	336	0.43452380952381
AC034243.1	512	0.544921875
AC046143.3	811	0.473489519112207
AC051649.12	108	0.666666666666667
AC055764.1	379	0.401055408970976
AC055811.5	877	0.559863169897377
AC060834.3	618	0.386731391585761
AC061975.1	384	0.46875
AC062017.1	512	0.6015625
AC062022.1	1684	0.399643705463183
AC062029.1	1324	0.466767371601208
AC063976.7	3556	0.431383577052868
AC064834.2	850	0.408235294117647
AC064836.3	704	0.602272727272727
AC064847.4	243	0.423868312757202
AC064850.4	1398	0.474248927038627
AC064852.5	676	0.440828402366864
AC066692.3	457	0.457330415754923
AC067945.3	618	0.409385113268608
AC067945.4	411	0.416058394160584
AC067959.1	882	0.444444444444444
AC068042.1	1148	0.5
AC068057.1	709	0.455571227080395
AC068134.10	229	0.51528384279476
AC068137.13	584	0.503424657534247
AC068282.3	2690	0.466171003717472
AC068491.3	1241	0.428686543110395
AC068522.4	345	0.518840579710145
AC068535.3	493	0.425963488843813
AC068535.5	451	0.498891352549889
AC068538.2	336	0.455357142857143
AC068538.4	654	0.492354740061162
AC068580.5	252	0.738095238095238
AC068580.6	1522	0.636005256241787
AC068610.3	1830	0.374863387978142
AC068657.2	324	0.441358024691358
AC068831.10	3450	0.469275362318841
AC068831.3	221	0.633484162895928
AC068946.1	83	0.602409638554217
AC069157.1	137	0.503649635036496
AC069213.1	1680	0.599404761904762
AC069277.2	3023	0.416142904399603
AC069282.6	526	0.349809885931559
AC072052.7	306	0.486928104575163
AC072062.1	452	0.373893805309735
AC073046.25	390	0.612820512820513
AC073052.1	715	0.418181818181818
AC073055.2	1621	0.364589759407773
AC073063.10	403	0.429280397022333
AC073072.5	936	0.479700854700855
AC073072.7	348	0.528735632183908
AC073109.2	978	0.461145194274029
AC073115.7	293	0.42320819112628
AC073150.6	1084	0.611623616236162
AC073218.2	2130	0.448356807511737
AC073254.1	232	0.53448275862069
AC073283.7	490	0.587755102040816
AC073284.4	404	0.443069306930693
AC073310.4	1043	0.397890699904123
AC073321.3	1184	0.485641891891892
AC073325.2	159	0.509433962264151
AC073326.3	557	0.366247755834829
AC073343.1	1280	0.39296875
AC073343.13	1374	0.463609898107715
AC073410.1	589	0.500848896434635
AC073465.1	464	0.52801724137931
AC073465.2	405	0.491358024691358
AC073635.5	570	0.450877192982456
AC073869.20	1947	0.593733949666153
AC073900.4	776	0.506443298969072
AC073934.6	495	0.56969696969697
AC073957.15	535	0.573831775700935
AC073987.1	638	0.449843260188088
AC074008.1	874	0.496567505720824
AC074011.2	581	0.506024096385542
AC074019.2	1096	0.51551094890511
AC074117.10	2848	0.545997191011236
AC074138.3	1005	0.454726368159204
AC074183.4	782	0.608695652173913
AC074286.1	6012	0.427644710578842
AC074289.1	2426	0.465787304204452
AC074290.1	135	0.348148148148148
AC074338.4	171	0.526315789473684
AC074338.5	156	0.653846153846154
AC074363.1	462	0.504329004329004
AC074367.1	1125	0.368
AC074389.5	437	0.537757437070938
AC074389.9	989	0.60262891809909
AC074391.1	6120	0.477287581699346
AC078883.3	952	0.417016806722689
AC078942.1	589	0.595925297113752
AC079248.1	1546	0.405562742561449
AC079250.1	531	0.5969868173258
AC079305.10	309	0.6957928802589
AC079305.11	946	0.432346723044397
AC079305.5	562	0.567615658362989
AC079354.5	216	0.435185185185185
AC079586.1	2213	0.500225937641211
AC079610.2	1727	0.40822235089751
AC079630.4	585	0.367521367521368
AC079753.4	795	0.389937106918239
AC079753.5	547	0.380255941499086
AC079767.4	492	0.434959349593496
AC079776.1	563	0.548845470692718
AC079776.4	370	0.432432432432432
AC079780.3	411	0.464720194647202
AC079781.5	123	0.463414634146341
AC079807.1	488	0.459016393442623
AC079807.2	740	0.482432432432432
AC079807.3	455	0.402197802197802
AC079807.4	1808	0.449115044247788
AC079809.2	276	0.416666666666667
AC079834.1	421	0.489311163895487
AC079922.2	359	0.437325905292479
AC079922.3	1460	0.465753424657534
AC079949.1	535	0.676635514018692
AC083799.1	426	0.352112676056338
AC083822.2	201	0.601990049751244
AC083843.2	849	0.459363957597173
AC083855.5	258	0.503875968992248
AC083862.6	1242	0.438003220611916
AC083899.1	1376	0.434593023255814
AC083900.1	469	0.366737739872068
AC083949.1	756	0.527777777777778
AC084018.1	1943	0.571281523417396
AC084082.3	1161	0.515073212747631
AC084125.4	369	0.634146341463415
AC084219.4	2466	0.448094079480941
AC084368.1	101	0.495049504950495
AC084809.2	484	0.489669421487603
AC087294.2	367	0.435967302452316
AC087380.14	1497	0.531062124248497
AC087393.1	750	0.488
AC087491.2	616	0.530844155844156
AC087499.5	1164	0.588487972508591
AC087650.1	468	0.542735042735043
AC090043.1	472	0.457627118644068
AC090099.2	603	0.600331674958541
AC090103.1	1751	0.521416333523701
AC090286.2	587	0.47870528109029
AC090286.4	1337	0.523560209424084
AC090453.1	436	0.442660550458716
AC090505.6	3200	0.4840625
AC090587.4	441	0.680272108843537
AC090587.5	408	0.568627450980392
AC090602.2	252	0.492063492063492
AC090616.2	1322	0.453857791225416
AC090625.1	210	0.447619047619048
AC090804.1	490	0.481632653061224
AC090939.1	292	0.469178082191781
AC090945.1	1525	0.571147540983607
AC090952.5	446	0.437219730941704
AC091177.1	220	0.527272727272727
AC091492.2	272	0.408088235294118
AC091493.1	1458	0.44718792866941
AC091493.2	411	0.430656934306569
AC091633.2	474	0.481012658227848
AC091633.3	1041	0.418828049951969
AC091654.7	506	0.484189723320158
AC091729.7	869	0.601841196777906
AC091729.9	1891	0.501850872554204
AC091801.1	1725	0.492173913043478
AC091814.3	3956	0.462588473205258
AC092106.1	487	0.478439425051335
AC092106.2	375	0.405333333333333
AC092155.1	477	0.419287211740042
AC092159.2	2147	0.484396832789939
AC092159.3	571	0.548161120840631
AC092168.2	717	0.433751743375174
AC092170.1	356	0.370786516853933
AC092171.2	621	0.57487922705314
AC092171.4	3252	0.593788437884379
AC092295.7	1158	0.515544041450777
AC092296.1	99	0.454545454545455
AC092338.5	1290	0.403875968992248
AC092568.1	1284	0.436915887850467
AC092569.2	258	0.445736434108527
AC092570.4	1143	0.480314960629921
AC092574.2	109	0.504587155963303
AC092580.4	243	0.460905349794239
AC092594.1	2963	0.402632467094161
AC092610.12	375	0.429333333333333
AC092620.2	397	0.458438287153652
AC092620.3	680	0.473529411764706
AC092635.1	455	0.492307692307692
AC092638.2	952	0.56827731092437
AC092641.2	772	0.402849740932642
AC092642.1	425	0.48
AC092646.2	901	0.39511653718091
AC092652.1	587	0.437819420783646
AC092661.1	2984	0.343163538873995
AC092664.1	1126	0.495559502664298
AC092667.2	1816	0.48568281938326
AC092798.2	409	0.481662591687042
AC092811.1	1637	0.394624312767257
AC092835.2	1096	0.503649635036496
AC092933.3	171	0.549707602339181
AC093106.4	616	0.553571428571429
AC093106.5	507	0.52465483234714
AC093106.7	679	0.463917525773196
AC093107.7	609	0.497536945812808
AC093110.3	237	0.413502109704641
AC093142.2	349	0.40974212034384
AC093159.1	424	0.504716981132076
AC093162.5	704	0.555397727272727
AC093323.3	2164	0.55452865064695
AC093326.1	510	0.486274509803922
AC093375.1	2006	0.406779661016949
AC093381.2	1122	0.380570409982175
AC093388.3	404	0.584158415841584
AC093391.2	1951	0.461301896463352
AC093415.2	4360	0.513761467889908
AC093484.4	332	0.533132530120482
AC093495.4	559	0.558139534883721
AC093620.5	451	0.667405764966741
AC093627.10	5149	0.518158865799184
AC093627.9	1449	0.489993098688751
AC093642.3	2264	0.4863074204947
AC093673.5	648	0.53858024691358
AC093690.1	1700	0.440588235294118
